순번,링크,제목,평점,평가수,가격
1,https://image.withstatic.com/295/32/102/6f52bd9340b54ae8bc413e18ec7259e0.png?width=792&height=480&format=webp,★당일특가★ 세인트존스 호텔,9.2,10289,159495
2,https://image.withstatic.com/194/357/461/ccf578228d59481187d11fff79e5af2f.jpg?width=792&height=480&format=webp,스카이베이호텔 경포,9.1,6929,163860
3,https://image.withstatic.com/371/242/92/141062dc7704452fae0c8e1685e4457c.jpg?width=792&height=480&format=webp,정동진 썬크루즈호텔,9.1,3219,176000
